Publisher,Location,Est.
07th Expansion,Japan,2002
11 bit studios,"Warsaw, Poland",2010
1C Company,"Moscow, Russia",1991
20th Century Games,"Century City, California, United States",2006
2K Games,"Novato, California, United States",2005
3D Realms,"Garland, Texas, United States",1987
The 3DO Company,"Redwood City, California, United States",1991
505 Games,"Milan, Italy",2006
7th Level,"Dallas, Texas, United States",1993
A&F Software,"Rochdale, UK",1981
Aackosoft,"Zoeterwoude, Netherlands",1983
Aardvark Software,UK,1983
ABC Software,"Buchs, St. Gallen, Switzerland",1991
Absolute Entertainment,"Upper Saddle River, New Jersey, United States",1986
Access Software,"Salt Lake City, Utah, United States",1982
Acclaim Entertainment,"Glen Cove, New York, United States",1987
Accolade,"California, United States",1984
Acornsoft,"Cambridge, England, UK",1980
Acquire,"Tokyo, Japan",1994
Active Gaming Media AGM,"Osaka, Japan",2006
Activision,"Santa Monica, California, United States",1979
Activision Blizzard,"Santa Monica, California, United States",2008
Addictive Games,"Milton Keynes, England, UK",1982
The Adventure Company,"Toronto, Ontario, Canada",2002
Adventure International,"Longwood, Florida, United States",1978
Adventure Soft,"Birmingham, England, UK",1983
Affect,Japan,1990
Agatsuma Entertainment,"Tokyo, Japan",1997
Âge,"Tokyo, Japan",1999
AGEod,"Grenoble, France",2005
Agetec,"Sunnyvale, California, United States",1998
Akabeisoft2,Japan,2005
Akella,"Moscow, Russia",1995
Akupara Games,"Los Angeles, California, United States",2016
Aksys,"Torrance, California, United States",2006
ALcot,Japan,2003
Alawar,"Novosibirsk, Russia",1999
AliceSoft,Japan,1989
AlphaDream,"Tokyo, Japan",2000
ADK,"Ageo, Saitama, Japan",1980
Alchemist,"Tokyo, Japan",1991
All in! Games,"Kraków, Poland",2018
Alligata,"Sheffield, UK",1983
Allumer,"Tokyo, Japan",1983
Alten8,"Luton, England, UK",2005
Alternative Software,"Castleford, UK",1985
Amazon Games,"Seattle, Washington, United States",2012
American Game Cartridges,"Chandler, Arizona, United States",1990
American Laser Games,"Albuquerque, New Mexico, United States",1989
American Video Entertainment,"San Jose, California, United States",1990
Amplitude Studios,"Paris, France",2011
Amsoft,"Brentwood, Essex, UK",1984
ANALOG Software,"Worcester, Massachusetts, United States",1981
Antic Software,"Marion, Ohio, United States",1982
APF Electronics Inc.,"New York City, United States",1970
Apogee Software,United States,2008
Apple Inc.,"Cupertino, California, United States",1976
Aquaplus,"Osaka, Japan",1994
AQ Interactive,"Tokyo, Japan",2005
Arcadia Systems,"Costa Mesa, California, United States",1987
Arcen Games,"Durham, North Carolina, United States",2009
Arc System Works,"Tokyo, Japan",1988
Argus Press,UK,1966
Arika,"Tokyo, Japan",1995
Ariolasoft,Germany,1983
Armor Games,United States,2005
Arsys Software,"Tokyo, Japan",1985
Artdink,"Tokyo, Japan",1986
Artic Computing,"Brandesburton, UK",1980
Arush Entertainment,"Scottsdale, Arizona, United States",1999
Arxel Tribe,Slovenia,1989
Ascaron,"Gütersloh, Germany",1992
ASC Games,"Darien, Connecticut, United States",1992
Asmik Corporation of America,Japan,1985
Asmodee,"Quartier Villaroy, Guyancourt, France",1995
Aspyr Media,"Austin, Texas, United States",1996
Astragon,"Düsseldorf, Germany",2000
Asymmetric Publications,"Arizona, United States",
"Atari, Inc","Sunnyvale, California, United States",1972
Atari Corp.,"Sunnyvale, California, United States",1984
Atari Games,"Milpitas, California, United States",1984
"Atari, SA","Paris, France",2003
AtariAge,United States,1998
Athena,Japan,1987
Atlantis Software,"London, England, UK",1984
Artech Digital Entertainment,"Ottawa, Ontario, Canada",1982
ASCII Corporation,"Tokyo, Japan",1977
Atlus,"Shinjuku, Tokyo, Japan",1986
Attic Entertainment Software,"Albstadt, Germany",1990
Audiogenic Limited,"Reading, Berkshire, UK",1975
August,Japan,2001
Auran Development,"Helensvale, Queensland, Australia",1995
Automata UK,"Portsmouth, Hampshire, England, UK",1977
Autumn Games,"New York City, United States",2007
Avalon Hill,"Renton, Washington, United States",1954
Aventuras AD,Spain,1987
Aventurine SA,"Athens, Greece",2002
BAM! Entertainment,"San Jose, California, United States",1999
Bandai Games,"Shinagawa, Tokyo, Japan",1950
Bandai Namco Entertainment,"Shinagawa, Tokyo, Japan",1955
Banpresto,"Shinagawa, Tokyo, Japan",1977
BBC Multimedia,"London, England, UK",1995
Beagle Bros,"San Diego, California, United States",1980
Bergsala Lightweight,"Tokyo, Japan",1995
Berkeley Systems,"Berkeley, California, United States",1987
Bethesda Softworks,"Rockville, Maryland, United States",1986
Beyond Software,United Kingdom,1983
Big Fish Games,"Seattle, Washington, United States",2002
Big Five Software,"Van Nuys, California, United States",1980
Bilibili,"Shanghai, China",2009
Black Bean Games,"Gazzada Schianno, Italy",2004
